Company,Sector,Headquarters,Amount,Funding_Round_Type,Lead_Investors,Amount_USD
Hexafun,Ecommerce,Delhi,$510K,Seed,Prajay Advisors,510000.0
Nuyug,Ecommerce,New Delhi,$283K,Pre-Seed,AJVC,283000.0
BhaoBhao,Consumer Services,Mumbai,$200K,–,–,200000.0
BhaoBhao,Consumer Services,Mumbai,$200K,–,–,200000.0
R For Rabbit,Ecommerce,Ahmedabad,$27 Mn,Series B,"Filter Capital, 3one4 Capital",27000000.0
Kiwi,Fintech,Bengaluru,$24 Mn,Series B,Vertex Ventures,24000000.0
Beyond Appliances,Ecommerce,Bengaluru,$4 Mn,Series A,Fireside Ventures,4000000.0
House Of Biryani,Consumer Services,Mumbai,$3.6 Mn,–,-,3600000.0
Mitra,Ecommerce,Gurugram,$1.6 Mn,–,Bestvantage Investments,1600000.0
PeelON,Enterprise Services,Vishakhapatnam,$1 Mn,Seed,growX ventures,1000000.0
Hexafun,Ecommerce,Delhi,$512K,Seed,Prajay Advisors,512000.0
Famyo,Ecommerce,Bengaluru,$457K,Seed,I'n Angel Fund,457000.0
ZenZebra,Consumer Services,Delhi,–,Seed,Rukam Capital,
ZenZebra,Consumer Services,Delhi,–,Seed,Rukam Capital,
Truemeds,Healthtech,Mumbai,$65 Mn,Series C,—,65000000.0
Zepto,Consumer Services,Bengaluru,$45.7 Mn,—,Motilal Oswal Financial Services Ltd,45700000.0
Darwinbox,Enterprise Tech,Hyderabad,$40 Mn,—,Ontario Teachers’ Pension Plan,40000000.0
Ultraviolette,Cleantech,Bengaluru,$21 Mn,—,TDK Ventures,21000000.0
Arintra,Enterprise Tech,US,$21 Mn,Series A,Peak XV Partners,21000000.0
Dashverse,Media & Entertainment,Bengaluru,$13 Mn,Series A,Peak XV Partners,13000000.0
Lifelong Online,Ecommerce,New Delhi,$13 Mn,—,—,13000000.0
Pronto,Consumer Services,Gurugram,$11 Mn,Series A,"General Catalyst, Glade Brook Capital",11000000.0
Elivaas,Travel Tech,Gurugram,$10 Mn,Series B,Vertex Ventures,10000000.0
Graas.ai,Artificial Intelligence (AI),Singapore,$9 Mn,Series B,Tin Men Capital,9000000.0
Refold AI,Artificial Intelligence (AI),Bengaluru,$6.5 Mn,Seed,"Eniac Ventures, Tidal Ventures",6500000.0
Olee Space,Advanced Hardware & IoT,Pune,$3 Mn,Seed,—,3000000.0
Holiday Tribe,Travel Tech,Gurugram,$3 Mn,Pre-Series A,Powerhouse Ventures,3000000.0
Fairdeal.Market,Ecommerce,Gurugram,$3 Mn,Pre-Series A,Incubate Fund Asia,3000000.0
Manastu Space Technologies,Advanced Hardware & IoT,Mumbai,$3 Mn,Series A,Capital-A,3000000.0
Comminent,Advanced Hardware & IoT,Bengaluru,$2 Mn,—,Transition VC,2000000.0
Spike AI,Artificial Intelligence (AI),Bengaluru,$1.9 Mn,Pre-Seed,Sorin Investments,1900000.0
Trackk,Fintech,New Delhi,$1 Mn,Seed,—,1000000.0
Trackk,Fintech,New Delhi,$1 Mn,Seed,—,1000000.0
The Sleep Company,Ecommerce,Mumbai,$54.6 Mn,Series D,—,54600000.0
RENEE Cosmetics,Ecommerce,Ahmedabad,$30 Mn,Series C,Playbook Partners,30000000.0
Fibe,Fintech,Pune,$25 Mn,Debt,Franklin Templeton Alternative Investments Fund,25000000.0
SuperGaming,Media & Entertainment,Pune,$15 Mn,Series A,"Skycatcher, Steadview Capital",15000000.0
Jeh Aerospace,Advanced Hardware & Technology,Hyderabad,$11 Mn,Series A,Elevation Capital,11000000.0
Zype,Fintech,Mumbai,$10.3 Mn,—,Unleash Capital Partners,10300000.0
DPDPZero,Fintech,Bangalore,$7 Mn,Series A,GMO Venture Partners,7000000.0
TurboHire,Artificial intelligence (AI),Hyderabad,$6 Mn,Series A,IvyCap Ventures,6000000.0
Mitigata,Fintech,Delhi,$5.9 Mn,Series A,Nexus Venture Partners,5900000.0
TPlusA India,Ecommerce,Bangalore,$5.8 Mn,Seed,Livspace,5800000.0
Cautio,Advanced Hardware & Technology,Bangalore,$3 Mn,Seed,—,3000000.0
OUTZIDR,Ecommerce,Bangalore,$3 Mn,Pre-Series A,RTP Global,3000000.0
HYLENR,Clean Tech,Hyderabad,$3 Mn,Pre-Series A,"Valour Capital, Chhattisgarh Investments",3000000.0
Zepto,Consumer Services,Bangalore,$2.9 Mn,—,MapmyIndia,2900000.0
CodeKarma,Artificial intelligence (AI),Bangalore,$2.5 Mn,Pre-Seed,"Prosus, Accel, Xeed Ventures",2500000.0
Xovian Aerospace,Advanced Hardware & Technology,Bangalore,$2.5 Mn,Pre-Seed,"Piper Serica, Turbostart",2500000.0
Nuuk,Ecommerce,Gurugram,$2 Mn,Series A,—,2000000.0
DesignX,Enterprise Tech,Noida,$2 Mn,—,—,2000000.0
EON Space Labs,Advanced Hardware & Technology,Hyderabad,$1.2 Mn,Pre-Series A,MGF Kavachh,1200000.0
MangoPoint,Ecommerce,Chennai,$1 Mn,Pre-Series A,Inflection Point Ventures,1000000.0
Fraganote,Ecommerce,New Delhi,$1 Mn,Pre-Series A,Rukam Capital,1000000.0
Shotgun Games,Media & Entertainment,Mumbai,$1 Mn,Seed,—,1000000.0
Gladful,Ecommerce,Jaipur,$913K,—,Eternal Capital,913000.0
Terafac,Advanced Hardware & Technology,Chandigarh,$800K,Pre-Seed,Inuka Capital,800000.0
Prozo,Logistics,Gurugram,—,—,Ranbir Kapoor,
Prozo,Logistics,Gurugram,—,—,Ranbir Kapoor,
Safe Security,Enterprise Tech,New Delhi,$70 Mn,Series C,Avataar Venture Partners,70000000.0
